matchup,games,metric,rate,ci_lo,ci_hi,technical,illegal,p95_ms
A_base_police_vs_base_thief,500,capture_rate,0.058,0.041,0.082,0.0,0,0.5887
B_cand_police_vs_base_thief,500,capture_rate,0.568,0.524,0.611,0.0,0,1.16
A_base_thief_vs_base_police,500,survival_rate,0.942,0.918,0.959,0.0,0,2.4882
C_cand_thief_vs_base_police,500,survival_rate,1.0,0.992,1.0,0.0,0,1.4894
D_cand_police_vs_cand_thief,300,capture_rate,0.0,0.0,0.013,0.0,0,1.3525
D_cand_thief_vs_cand_police,300,survival_rate,1.0,0.987,1.0,0.0,0,1.438
